,count,percent
overall,32970,1.0
untagged,11,0.00033363663936912346
News,9674,0.29351618677751146
Opinion,6317,0.19166236839709944
The Schmooze,6275,0.19038805789010588
Culture,3253,0.09869838283928517
Sisterhood,2947,0.08941412057404655
Fast Forward,2365,0.07175581783427895
Food,2037,0.06180405958918656
Scribe: Curated Contributor Posts About Jewish issues,35,0.0010619254224946146
Bintel Blog,34,0.0010315846961376255
Yiddish,12,0.0003640887162838678
Reading With Roiphe,3,9.102217907096695e-05
Life,2,6.068145271397797e-05
My Heretical Year,2,6.068145271397797e-05
Backward,1,3.0340726356988985e-05
Mitz-Vote,1,3.0340726356988985e-05
Wondering Jew,1,3.0340726356988985e-05
