,count,percent
overall,34130,1.0
untagged,0,0.0
Current Edition,4379,0.1283035452680926
Israel,4258,0.12475827717550542
Nation,3014,0.08830940521535306
World,2623,0.0768532083211251
Is Featured?,2487,0.07286844418400235
Culture,1886,0.055259302666276
Mobile,1771,0.05188983299150308
Opinion,1260,0.03691766774099033
Arts,948,0.027776150014649868
Community,730,0.021388807500732493
Election 2016,673,0.019718722531497215
Hollywood,666,0.019513624377380603
Cover Story,586,0.01716964547319074
Los Angeles,516,0.015118663932024611
Calendar,386,0.011309698212716086
Lifestyle,353,0.010342806914737768
Rosner's Domain,306,0.008965719308526222
Food,301,0.008819220627014356
Obituaries,277,0.008116026955757399
Books,276,0.008086727219455025
Religion,216,0.006328743041312628
David Suissa,214,0.006270143568707882
Blogs,214,0.006270143568707882
Columnists,176,0.005156753589217697
California,174,0.005098154116612951
Business,164,0.004805156753589218
Letters to the Editor,157,0.004600058599472605
50 Plus,150,0.0043949604453559915
Education,146,0.004277761500146499
Hollywood Schmooze,138,0.004043363609727513
Iran Deal,137,0.0040140638734251395
Mobile-Homepage,137,0.0040140638734251395
Keeping the Faith,132,0.003867565191913273
Health,124,0.0036331673014942866
newspulse,122,0.00357456782888954
Home,117,0.0034280691473776736
From The Lupertverse,108,0.003164371520656314
We Said Go Travel,106,0.0031057720480515676
Sports,98,0.0028713741576325814
Torah Portion,96,0.002812774685027835
Chanukah,89,0.002607676530911222
Current Movie Review And Analysis,85,0.0024904775857017285
High Holy Days,82,0.002402578376794609
12:12,81,0.0023732786404922356
Iran,79,0.002314679167887489
Poetry,78,0.002285379431585116
Nation/World,78,0.002285379431585116
Flotilla Crisis,77,0.0022560796952827426
Passover,77,0.0022560796952827426
Just Asking,69,0.0020216818048637564
Danielle Berrin,67,0.0019630823322590095
Humans of Israel,65,0.001904482859654263
Jewish Insider,64,0.0018751831233518898
First Person,60,0.0017579841781423966
Keeping it Real,60,0.0017579841781423966
Bill Boyarsky,60,0.0017579841781423966
Yamit's Table,58,0.0016993847055376502
Marty Kaplan,56,0.0016407852329329035
Live from the Arab Spring,55,0.0016114854966305303
Moving & Shaking,54,0.001582185760328157
Uncategorized,54,0.001582185760328157
Greenberg's View,53,0.0015528860240257838
Multimedia,53,0.0015528860240257838
Politics,53,0.0015528860240257838
Dennis Prager,52,0.0015235862877234106
Bar & Bat Mitzvahs,49,0.0014356870788162907
Editor's Note,48,0.0014063873425139174
Analysis,47,0.001377087606211544
Rob Eshman,45,0.0013184881336067975
Camp,45,0.0013184881336067975
Expired and Inspired,44,0.0012891883973044243
Jewish Insider's Daily Kickoff,42,0.0012305889246996776
Arizona Shooting,41,0.0012012891883973044
Table for Five,37,0.0010840902431878113
Rosner Video,37,0.0010840902431878113
Movers & Shakers,36,0.001054790506885438
Crossword,35,0.0010254907705830648
Celebrations/Simchas,35,0.0010254907705830648
Artist of the Week,33,0.0009668912979783182
Shiksa in Hollywood,32,0.0009375915616759449
Online,29,0.0008496923527688251
Karen Lehrman Bloch,28,0.0008203926164664518
Iranian American Jews,27,0.0007910928801640785
Travel,27,0.0007910928801640785
Tech,26,0.0007617931438617053
Film,25,0.000732493407559332
News,25,0.000732493407559332
Gina Nahai,24,0.0007031936712569587
Music,22,0.0006445941986522122
Ben Shapiro,22,0.0006445941986522122
Arts In L.A.,22,0.0006445941986522122
Family,22,0.0006445941986522122
Goldstone Report,22,0.0006445941986522122
