,count,percent
overall,6873,1.0
untagged,0,0.0
Jewish News & Politics,1954,0.2843008875309181
Jewish Life & Religion,1551,0.22566564818856394
Jewish Arts & Culture,969,0.140986468790921
Book Reviews,950,0.13822202822639312
Family,511,0.07434890149861778
Food,370,0.053833842572384695
Film,238,0.034628255492506914
Culture News,88,0.012803724719918521
Fiction and Essays,85,0.012367234104466754
Europe,54,0.00785683107813182
Frozen Rabbi,46,0.006692856103593773
Israel Story,30,0.004364906154517678
Observance,8,0.0011639749745380474
United States,6,0.0008729812309035355
Visual Art & Design,3,0.00043649061545176777
Middle East,2,0.00029099374363451185
Education,2,0.00029099374363451185
Notebook,1,0.00014549687181725592
Podcasts,1,0.00014549687181725592
The Scroll,1,0.00014549687181725592
Theater & Dance,1,0.00014549687181725592
Music,1,0.00014549687181725592
World,1,0.00014549687181725592
