,count,percent
overall,972,1.0
untagged,2,0.00205761316872428
ungrouped,0,0.0
US News tag,278,0.2865979381443299
Other tag,131,0.13505154639175257
Arts and Culture tag,116,0.11958762886597939
Israel related tag,85,0.08762886597938144
US history tag,71,0.0731958762886598
American Jewry related tag,67,0.06907216494845361
World News tag,59,0.060824742268041236
Identity politics tag,42,0.04329896907216495
Life tag,37,0.03814432989690722
Academia tag,31,0.031958762886597936
Anti-Semitism tag,30,0.030927835051546393
Religion tag,21,0.021649484536082474
Holocaust tag,13,0.013402061855670102
Environment tag,1,0.0010309278350515464
