,count,percent
overall,39042,1.0
untagged,6083,0.15580656728651196
ungrouped,12446,0.3776206802390849
Israel related tag,9524,0.2889650778239631
American Jewry related tag,4692,0.1423586880669923
US News tag,4622,0.14023483722200308
World News tag,3811,0.11562850814648502
Other tag,2158,0.06547528747838223
Religion tag,1482,0.04496495646105768
Holocaust tag,1434,0.04350860159592221
Anti-Semitism tag,1349,0.04092963985557814
Identity politics tag,882,0.026760520646864287
Arts and Culture tag,386,0.01171152037379775
Academia tag,70,0.0021238508449892292
Environment tag,57,0.0017294214023483722
Life tag,0,0.0
US history tag,0,0.0
