,count,percent
overall,55145,1.0
untagged,21015,0.38108622721914953
ungrouped,5231,0.15326692059771463
Israel related tag,11495,0.33680046879578085
US News tag,8722,0.25555230002929974
World News tag,7605,0.22282449457954878
Other tag,7510,0.22004101963082331
American Jewry related tag,5330,0.15616759449164958
Religion tag,3811,0.11166129504834456
Arts and Culture tag,2924,0.08567242894813946
Life tag,2494,0.07307354233811895
Holocaust tag,1644,0.04816876648110167
Anti-Semitism tag,1333,0.03905654849106358
Academia tag,546,0.01599765602109581
Identity politics tag,277,0.008116026955757399
US history tag,36,0.001054790506885438
Environment tag,12,0.00035159683562847936
