,count,percent
overall,6915,1.0
untagged,42,0.006073752711496746
ungrouped,1833,0.2666957660410301
Israel related tag,1582,0.23017605121489887
Religion tag,1229,0.17881565546340752
Other tag,1202,0.17488723992434163
US News tag,1160,0.16877637130801687
World News tag,798,0.11610650371017023
Arts and Culture tag,655,0.09530045104030263
American Jewry related tag,544,0.07915029826858723
Holocaust tag,528,0.07682234831951112
Anti-Semitism tag,355,0.051651389495125856
Life tag,144,0.020951549541684853
Identity politics tag,97,0.014113196566273824
Academia tag,0,0.0
Environment tag,0,0.0
US history tag,0,0.0
