,count,percent
overall,39042,1.0
untagged,6083,0.15580656728651196
Israel,7420,0.22512818956885827
jewish,2821,0.08559118905306592
Palestinian,1572,0.04769562183318669
anti semitism,1081,0.03279832519190509
Holocaust,949,0.02879334931278255
JTA,907,0.02751903880578901
Jewish,785,0.023817470190236355
benjamin netanyahu,701,0.02126884917624928
Books,675,0.020479990290967566
Iran,663,0.0201159015746837
gaza,633,0.019205679783974028
barack obama,632,0.01917533905761704
orthodox,582,0.01765830273976759
West Bank,525,0.015928881337419216
Film,518,0.015716496252920296
Music,457,0.013865711945143968
Yiddish,457,0.013865711945143968
Election,456,0.013835371218786977
Education,424,0.012864467975363331
Author Blog Series,416,0.012621742164507418
Hazon,410,0.012439697806365484
kosher,394,0.01195424618465366
Benjamin Netanyahu,393,0.011923905458296672
france,391,0.011863224005582694
nazi,369,0.011195728025728937
Republican,364,0.011044024393943992
rabbi,360,0.010922661488516035
Ha'aretz,354,0.010740617130374101
very forward,348,0.010558572772232168
jerusalem,340,0.010315846961376255
lgbt,336,0.0101944840559483
women,323,0.009800054613307442
jta,320,0.009709032434236476
recipes,306,0.00928426226523863
hamas,306,0.00928426226523863
jewish women,300,0.009102217907096696
Passover,291,0.008829151369883796
settlers,279,0.008465062653599927
Gaza,273,0.008283018295457993
Great Britain,264,0.008009951758245093
anti defamation league,262,0.007949270305531114
new york,256,0.00776722594738918
bds,248,0.007524500136533269
hasidic,239,0.0072514335993203675
Interviews,233,0.007069389241178434
IDF,227,0.0068873448830365
Jerusalem,225,0.006826663430322522
culture,225,0.006826663430322522
Russia,221,0.006705300524894566
election,219,0.006644619072180588
Exhibits,216,0.006553596893109621
Zionism,214,0.006492915440395643
Ultra Orthodox,209,0.006341211808610698
american israel public affairs committee,205,0.006219848903182742
Poetry,205,0.006219848903182742
interfaith,203,0.006159167450468764
immigration,198,0.006007463818683819
peace,197,0.00597712309232683
hillary clinton,197,0.00597712309232683
Jared Kushner,193,0.005855760186898875
boycotts,191,0.005795078734184896
feminism,190,0.005764738007827908
brooklyn,186,0.005643375102399951
united nations,177,0.005370308565187051
reform,166,0.005036560575260172
occupation,165,0.005006219848903183
Television,165,0.005006219848903183
President Trump,164,0.004975879122546194
New York,164,0.004975879122546194
Germany,164,0.004975879122546194
shabbat,163,0.004945538396189205
Purim,161,0.004884856943475227
syria,158,0.00479383476440426
BDS,157,0.004763494038047271
books,156,0.004733153311690282
mitt romney,155,0.004702812585333293
Food,155,0.004702812585333293
Renee Ghert Zand,154,0.004672471858976304
germany,154,0.004672471858976304
France,154,0.004672471858976304
Jewish Book Council,153,0.004642131132619315
Hamas,153,0.004642131132619315
obituary,150,0.004551108953548348
Ivanka Trump,148,0.00449042750083437
Oscars,144,0.004369064595406414
tel aviv,144,0.004369064595406414
muslim,143,0.004338723869049425
ukraine,142,0.004308383142692436
news,139,0.004217360963621469
nuclear,137,0.004156679510907491
Poland,137,0.004156679510907491
Barack Obama,136,0.004126338784550502
john kerry,135,0.004095998058193513
adolf hitler,133,0.004035316605479535
Out and About,132,0.0040049758791225465
Israeli-Palestinian Conflict,131,0.003974635152765557
conservative,130,0.003944294426408568
poland,129,0.00391395370005158
sexism,129,0.00391395370005158
Curt Schleier,128,0.00388361297369459
hungary,126,0.0038229315209806123
Rosh Hashanah,126,0.0038229315209806123
My Jewish Learning,126,0.0038229315209806123
yiddish,123,0.0037319093419096454
sephardic,121,0.003671227889195667
Orthodox,120,0.0036408871628386785
politics,119,0.0036105464364816894
Documentaries,119,0.0036105464364816894
egypt,117,0.003549864983767711
canada,111,0.0033678206256257774
circumcision,110,0.0033374798992687883
arabs,110,0.0033374798992687883
netanyahu,109,0.0033071391729117996
