,count,percent
overall,55145,1.0
untagged,21015,0.38108622721914953
israel,7997,0.23430999121007912
jewish,4670,0.1368297685320832
palestine,1521,0.044564898915909756
iran,1330,0.03896864928215646
united states,1267,0.03712276589510694
donald trump,1240,0.03633167301494287
middle east,1232,0.03609727512452388
los angeles,1160,0.033987694110753
world,1147,0.03360679753882215
barack obama,1098,0.03217111046000586
gaza,1088,0.03187811309698213
benjamin netanyahu,1083,0.03173161441547026
anti-semitism,1036,0.030354526809258715
west bank,1024,0.030002929973630237
judaism,927,0.02716085555230003
storyblog,896,0.026252563726926456
holocaust,867,0.025402871374157632
hamas,851,0.02493407559331966
jerusalem,777,0.022765895106944038
opinion,739,0.021652505127453852
syria,677,0.019835921476706708
netanyahu,654,0.019162027541752124
religion,647,0.01895692938763551
egypt,631,0.01848813360679754
nation,562,0.016466451801933783
united nations,501,0.014679167887489013
jews,487,0.014268971579255788
tel aviv,475,0.013917374743627307
idf,463,0.013565777907998828
food,432,0.012657486082625256
obama,422,0.012364488719601524
bds,418,0.012247289774392031
hillary clinton,392,0.011485496630530325
passover,388,0.011368297685320832
russia,387,0.01133899794901846
new york,385,0.011280398476413713
torah,362,0.010606504541459127
muslim,346,0.010137708760621155
politics,339,0.00993261060650454
france,337,0.009874011133899794
community,335,0.009815411661295048
nazi,333,0.009756812188690301
op-ed,329,0.009639613243480808
arts,327,0.009581013770876062
germany,316,0.009258716671549956
john kerry,313,0.009170817462642837
obituaries,310,0.009082918253735717
orthodox,310,0.009082918253735717
mahmoud abbas,300,0.008789920890711983
adl,291,0.008526223263990624
palestinian authority,288,0.008438324055083504
ucla,276,0.008086727219455025
terrorism,275,0.008057427483152652
isis,272,0.007969528274245533
republican,270,0.007910928801640784
congress,269,0.007881629065338411
poetry,269,0.007881629065338411
islamic state,267,0.007823029592733665
attack,266,0.007793729856431292
hollywood,261,0.007647231174919425
education,261,0.007647231174919425
poem,260,0.007617931438617052
high holy days,259,0.007588631702314679
obituary,253,0.0074128332845004394
books,252,0.007383533548198066
aipac,247,0.0072370348666862
torah portion,245,0.007178435394081454
calendar,241,0.00706123644887196
letters to the editor,240,0.007031936712569587
music,236,0.006914737767360094
yom kippur,230,0.006738939349545854
david suissa,229,0.006709639613243481
film,224,0.006563140931731614
election 2016,224,0.006563140931731614
knesset,223,0.006533841195429241
bernie sanders,220,0.006445941986522121
california,212,0.006211544096103135
turkey,209,0.006123644887196016
palestinians,205,0.006006445941986522
gaza strip,202,0.005918546733079402
shabbat,201,0.005889246996777029
rabbi,201,0.005889246996777029
anti-defamation league,199,0.005830647524172282
america,198,0.005801347787869909
boycott,197,0.005772048051567536
iran deal,195,0.0057134485789627895
hezbollah,193,0.005654849106358043
sports,193,0.005654849106358043
election,192,0.00562554937005567
poland,190,0.005566949897450923
rosh hashanah,188,0.005508350424846176
jewish community,187,0.005479050688543803
culture,186,0.0054497509522414295
ukraine,185,0.005420451215939056
world war ii,183,0.00536185174333431
arab,181,0.005303252270729563
democrat,180,0.00527395253442719
paris,179,0.005244652798124817
chanukah,179,0.005244652798124817
love,178,0.005215353061822444
white house,177,0.0051860533255200705
obits,176,0.005156753589217697
israeli,175,0.005127453852915324
nuclear,174,0.005098154116612951
israel defense forces,173,0.0050688543803105775
rob eshman,171,0.00501025490770583
health,170,0.004980955171403457
obit,169,0.004951655435101084
settlements,168,0.0049223556987987105
kosher,167,0.004893055962496337
nuclear deal,165,0.004834456489891591
abbas,165,0.004834456489891591
dating,164,0.004805156753589218
video,164,0.004805156753589218
jewish insider,162,0.004746557280984471
western wall,161,0.004717257544682098
facebook,160,0.004687957808379725
zionism,160,0.004687957808379725
peace,159,0.0046586580720773514
palestinian,158,0.004629358335774978
shimon peres,157,0.004600058599472605
mitt romney,155,0.0045414591268678585
europe,154,0.004512159390565485
auschwitz,152,0.004453559917960738
elections,149,0.004365660709053618
hebrew,148,0.004336360972751245
lebanon,145,0.004248461763844125
shooting,144,0.004219162027541752
protest,144,0.004219162027541752
murder,143,0.004189862291239379
tehran,143,0.004189862291239379
faith,143,0.004189862291239379
recipe,143,0.004189862291239379
iraq,141,0.004131262818634632
dennis prager,140,0.004101963082332259
election2016,138,0.004043363609727513
the media line,137,0.0040140638734251395
twitter,136,0.003984764137122766
hope,136,0.003984764137122766
death,135,0.003955464400820392
book,134,0.003926164664518019
died,132,0.003867565191913273
survivor,130,0.003808965719308526
recipes,129,0.003779665983006153
