,count,percent
overall,6915,1.0
untagged,42,0.006073752711496746
Israel,703,0.10228430088753092
column,592,0.0861341481158155
Anti-Semitism,355,0.051651389495125856
Talmud,309,0.04495853339153208
Holocaust,305,0.04437654590426306
Barack Obama,280,0.04073912410883166
Daf Yomi,275,0.04001163974974538
Talmud study,253,0.03681070856976575
Benjamin Netanyahu,212,0.03084533682525826
Iran,199,0.02895387749163393
Donald Trump,198,0.028808380619816675
World War II,195,0.028371890004364905
Longform,179,0.02604394005528881
unorthodox,174,0.02531645569620253
New York City,160,0.023279499490760948
Mishna,159,0.023134002618943692
gemara,156,0.022697512003491925
fiction,144,0.020951549541684853
podcast,141,0.020515058926233086
Syria,135,0.01964207769532955
Zionism,132,0.01920558707987778
Passover,127,0.018478102720791503
Jerusalem,121,0.01760512148988797
France,120,0.017459624618070713
Hamas,120,0.017459624618070713
Hezbollah,112,0.016295649643532664
Israeli-Palestinian conflict,111,0.016150152771715408
u.s. foreign policy,105,0.015277171540811872
Tel Aviv,96,0.013967699694456569
Yiddish,96,0.013967699694456569
podcasts,94,0.013676705950822057
Egypt,92,0.013385712207187546
Yom Kippur,91,0.01324021533537029
Poland,91,0.01324021533537029
Russia,89,0.012949221591735777
Hillary Clinton,81,0.01178524661719773
Vladimir Putin,79,0.011494252873563218
IDF,78,0.011348756001745963
Yiddish literature,78,0.011348756001745963
poetry,76,0.011057762258111451
The Tattler,72,0.010475774770842427
Rosh Hashanah,72,0.010475774770842427
Philip Roth,72,0.010475774770842427
Hanukkah,72,0.010475774770842427
conversion,71,0.01033027789902517
Germany,70,0.010184781027207915
video,69,0.01003928415539066
BDS,69,0.01003928415539066
West Bank,68,0.009893787283573404
Soviet Union,64,0.00931179979630438
novel,64,0.00931179979630438
terrorism,64,0.00931179979630438
Gaza,63,0.009166302924487123
feminism,62,0.009020806052669868
literature,61,0.008875309180852612
Ukraine,61,0.008875309180852612
Hollywood,61,0.008875309180852612
Shabbat,61,0.008875309180852612
Brooklyn,60,0.008729812309035356
AIPAC,60,0.008729812309035356
immigration,59,0.0085843154372181
Nazis,57,0.008293321693583587
George W. Bush,57,0.008293321693583587
Europe,57,0.008293321693583587
Purim,56,0.008147824821766332
illustration,55,0.008002327949949076
Arab Spring,55,0.008002327949949076
Television,55,0.008002327949949076
Sara Ivry,54,0.00785683107813182
Blessed Week Ever,54,0.00785683107813182
Christmas,53,0.007711334206314565
parenting,53,0.007711334206314565
Moses,52,0.007565837334497308
ultra-Orthodox,50,0.007274843590862797
steve stern,50,0.007274843590862797
recipe,50,0.007274843590862797
paul rogers,49,0.007129346719045541
Lebanon,49,0.007129346719045541
the frozen rabbi,49,0.007129346719045541
2016 Presidential Election,49,0.007129346719045541
holidays,49,0.007129346719045541
New York,48,0.006983849847228284
U.S.. foreign policy,48,0.006983849847228284
serialization,48,0.006983849847228284
Bashar al-Assad,48,0.006983849847228284
Shavuot,48,0.006983849847228284
Iraq,46,0.006692856103593773
Israel Defense Forces,46,0.006692856103593773
memoir,46,0.006692856103593773
Middle East,46,0.006692856103593773
Communism,45,0.006547359231776516
Sukkot,45,0.006547359231776516
David Ben-Gurion,45,0.006547359231776516
ISIS,44,0.006401862359959261
Children's books,43,0.006256365488142005
Torah,43,0.006256365488142005
Turkey,43,0.006256365488142005
Iran nuclear deal,43,0.006256365488142005
Mahmoud Abbas,43,0.006256365488142005
photography,43,0.006256365488142005
Los Angeles,43,0.006256365488142005
Islam,42,0.006110868616324749
High Holidays,42,0.006110868616324749
Yom Kippur read,42,0.006110868616324749
Palestine,42,0.006110868616324749
Holocaust survivors,41,0.005965371744507493
Marriage,41,0.005965371744507493
Paris,40,0.005819874872690237
Nazi Germany,40,0.005819874872690237
Auschwitz,40,0.005819874872690237
Muslim Brotherhood,39,0.005674378000872981
Saul Bellow,39,0.005674378000872981
United Nations,39,0.005674378000872981
Israel Story,39,0.005674378000872981
Mahmoud Ahmadinejad,38,0.0055288811290557256
comedy,37,0.005383384257238469
Soviet Jewry,37,0.005383384257238469
Adolf Hitler,36,0.005237887385421213
Maimonides,36,0.005237887385421213
United Kingdom,35,0.0050923905136039576
LGBT,35,0.0050923905136039576
New York Times,35,0.0050923905136039576
Italy,35,0.0050923905136039576
Film,35,0.0050923905136039576
Bill Clinton,35,0.0050923905136039576
mourning,34,0.004946893641786702
Passover Food,34,0.004946893641786702
Broadway,34,0.004946893641786702
Tablet Original Fiction,34,0.004946893641786702
Jewish food,34,0.004946893641786702
Chabad,34,0.004946893641786702
John Kerry,33,0.004801396769969445
Knesset,33,0.004801396769969445
Rokhl's Golden City,33,0.004801396769969445
Vienna,33,0.004801396769969445
Shimon Peres,33,0.004801396769969445
Avigdor Lieberman,33,0.004801396769969445
Hosni Mubarak,32,0.00465589989815219
Jewish Museum,32,0.00465589989815219
Menachem Begin,32,0.00465589989815219
Internet,32,0.00465589989815219
racism,32,0.00465589989815219
Canada,31,0.004510403026334934
Sept. 11,31,0.004510403026334934
Hungary,31,0.004510403026334934
London,31,0.004510403026334934
Palestinian Authority,31,0.004510403026334934
Food,31,0.004510403026334934
Six-Day War,31,0.004510403026334934
summer camp,31,0.004510403026334934
Orthodoxy,30,0.004364906154517678
Lower East Side,30,0.004364906154517678
anti-Zionism,30,0.004364906154517678
Tablet in Print,30,0.004364906154517678
Chicago,30,0.004364906154517678
Iran nuclear program,30,0.004364906154517678
Rosh Hashanah read,30,0.004364906154517678
Likud,30,0.004364906154517678
Ehud Barak,30,0.004364906154517678
1960s,30,0.004364906154517678
Orthodox Jews,29,0.004219409282700422
Woody Allen,29,0.004219409282700422
refugees,29,0.004219409282700422
Former Soviet Union,29,0.004219409282700422
American Jewry,29,0.004219409282700422
Yasser Arafat,29,0.004219409282700422
Mossad,29,0.004219409282700422
Palestinians,29,0.004219409282700422
novels,29,0.004219409282700422
Mitt Romney,29,0.004219409282700422
campus week,29,0.004219409282700422
Education,29,0.004219409282700422
Divorce,28,0.004073912410883166
Rabbis,28,0.004073912410883166
J Street,28,0.004073912410883166
fashion,28,0.004073912410883166
Warsaw,28,0.004073912410883166
Libya,28,0.004073912410883166
California,28,0.004073912410883166
India,28,0.004073912410883166
